time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.223008858722872e-08,-4.707754184505983e-08,10.00069433120772,6.282854612353567,6.282881521924301,0.0,1.3435557617184245e-05,-1.359243289659549e-05,0.023143920517176217,-0.019803165568063122,-0.017842679102423018,0.0,411.6214207396614,410.0397446013988,413.6291067463503,411.8818208151533
0.12000000000000001,1.1732129842822377e-05,-1.2785991453803857e-05,10.006026975638763,6.28163101919022,6.28144211445365,0.0,0.0005048261055909698,-0.000539640702148196,0.15460122787413264,-0.021600128959493134,-0.040598032428500824,0.0,448.139722832387,446.286422921527,446.4040628093839,446.25745422931504
0.18,9.422167498473095e-05,-8.77734732875394e-05,10.021440514963444,6.280421435409066,6.2790207510506235,0.0,0.00253007839384044,-0.0021068910330569804,0.3591398021193527,-0.017424467321661592,-0.03987657008395809,0.0,469.2376673459659,469.2929123780375,468.45798973339436,468.782561291157
0.23999999999999996,0.0003439647280203152,-0.0002768187120100732,10.04657659728154,6.2795752319645715,6.276561787668406,0.0,0.00604886292104292,-0.004292960720750916,0.47868491764650356,-0.008174477761505065,-0.0432915925651311,0.0,443.3886119593229,443.10711346894146,442.8055226638928,443.5657859131281
0.3,0.000855761309565528,-0.0006117015000307075,10.078606502663014,6.279357928609979,6.274070925508081,0.0,0.011273817302815306,-0.006904920622851235,0.5889255578475442,0.0042067831962937325,-0.03817872036611108,0.0,439.95756528594535,440.3796777341937,440.12514122078363,441.1485871177488
0.36000000000000004,0.0017585668451663092,-0.0011155141018260519,10.120084594164812,6.279077728595015,6.272249565091874,0.0,0.01905617179840058,-0.009874422011934772,0.7935552376427844,-0.03568527364621334,-0.018079531687334616,0.0,468.9353163076638,470.49347285365315,470.48222517454855,467.383878491044
0.4200000000000001,0.003077431008063143,-0.0017787489429666537,10.165802112852619,6.2764265757247095,6.2707398763738915,0.0,0.02500247508818489,-0.01241137544067432,0.7304031984432731,-0.07243032867021948,-0.0456626804353448,0.0,382.9485829724478,380.31572809838264,384.7457955234318,381.2495078616904
0.48000000000000015,0.00484973832346503,-0.002682379026121516,10.212972324266595,6.271799828418141,6.267827918075779,0.0,0.034365708772382764,-0.018171968749406398,0.8418533393834384,-0.08866713810008629,-0.05499640548675838,0.0,441.1692935362025,440.39655311577326,442.1067774741308,440.76222408109305
0.5400000000000001,0.00730106960149191,-0.00407468018616429,10.270305951035372,6.267052716950573,6.265433088577906,0.0,0.047674049544069154,-0.028838196836601743,1.069069149510338,-0.06478441527774008,-0.019975783101900138,0.0,474.8760355040803,477.5534894971954,475.56782716479285,477.3886036884977
0.6000000000000002,0.01062169517263371,-0.006235976983578151,10.342386754906173,6.26344338691429,6.264153165641805,0.0,0.06316484884035617,-0.04367222323631563,1.3333424829096268,-0.05221744325376858,-0.024192494857462297,0.0,487.32072332110573,487.0055043741428,487.2911848436877,488.2273345831979
0.6600000000000003,0.014911953900446234,-0.009382988330874233,10.43065383510151,6.260504644868238,6.262790555515096,0.0,0.0800167652486967,-0.06160857297113471,1.6085353315212065,-0.04318424784055348,-0.019899401697771393,0.0,490.9398357084379,491.258254923616,490.8915400328353,491.5600681123523
0.7200000000000003,0.020119561945834787,-0.013537395531724531,10.529280180124411,6.257446640096269,6.262403277634657,0.0,0.09363678126658834,-0.07713687806673204,1.6788997442710658,-0.07491256712181076,0.01197080397200244,0.0,428.4578200802815,431.15868523442396,431.68716290243725,428.99960065487943
0.7800000000000004,0.026236505227817845,-0.018807842000198412,10.636516803985629,6.252848857323118,6.263339163021389,0.0,0.11015443769663164,-0.09907760460132865,1.8953067665803616,-0.08030413705908977,0.02201215764824708,0.0,474.8164950449111,475.5860479869041,475.44049528116295,475.0230197644684
0.8400000000000004,0.03323228941249859,-0.02536843503517839,10.75229128442574,6.247999716840955,6.264390393795287,0.0,0.12291822770795059,-0.12007578868764385,1.9637128430722097,-0.08186848575048258,0.006543962498857554,0.0,432.112413918609,430.80650564654604,429.54017920381403,429.40198065020223
0.9000000000000005,0.040994082042468294,-0.03331886822495578,10.873106669112474,6.242780510135773,6.264587819363612,0.0,0.13577338691196808,-0.1454460479171126,2.0632711620872066,-0.09993503402638419,-0.004174487273612296,0.0,440.77119933804244,439.8844985180916,441.8532020691618,440.3548288270287
0.9600000000000005,0.04952919510512778,-0.042912319958409724,11.000106125959034,6.236386328391731,6.264541840321215,0.0,0.1487407285715304,-0.17496003541784744,2.1698169949255606,-0.12510285463503304,0.0053021234292203396,0.0,442.8454028813999,443.6242078453127,444.5061762951546,442.42856258359456
1.0200000000000005,0.058799625821384795,-0.05430793093281304,11.13125482690313,6.228979982714108,6.264513651261847,0.0,0.16025518497449376,-0.20557605721800265,2.2017074561522296,-0.12030652048626102,-0.015684970192730373,0.0,421.6976314507144,419.88091283533583,418.5022963001067,418.90469550330056
1.0800000000000005,0.0688079960570692,-0.06780203325948704,11.266547872254534,6.221652544460156,6.263304824716503,0.0,0.1734614263662433,-0.24496387453748075,2.3078012986408813,-0.12602784629464026,-0.031033610606260656,0.0,445.2000653120784,443.94249005211447,443.5475710981009,443.06390413496524
1.1400000000000006,0.0795500846954351,-0.08354314980734576,11.403911307461769,6.214437734292858,6.261894890337917,0.0,0.18474057475883857,-0.2803473746570519,2.2710056081225267,-0.11066244766265468,-0.011583712369992992,0.0,396.024376734703,397.8091450568636,396.6096545228947,398.0032758414207
